"","x"
"1","1.16378830613652"
"2","1.14449910530649"
"3","1.15922468962611"
"4","1.18829983151655"
"5","N/A"
"6","1.17298660735904"
"7","1.15932317964241"
"8","N/A"
"9","1.16864012054842"
"10","1.11558124002342"
"11","N/A"
"12","1.13651617158125"
"13","1.16862995233053"
"14","1.18554522896695"
"15","1.17294674932756"
"16","N/A"
"17","N/A"
"18","1.17242190846048"
"19","1.1672234471138"
"20","N/A"
"21","N/A"
"22","1.11002885662677"
"23","1.13424127874189"
"24","N/A"
"25","1.17713668066875"
"26","1.13498496674268"
"27","1.16558371789969"
"28","N/A"
"29","1.14610411223128"
"30","1.17060665731803"
"31","N/A"
"32","N/A"
"33","1.14677894101996"
"34","1.12204250756373"
"35","1.10199331283861"
"36","1.14576240634529"
"37","N/A"
"38","1.17174324939662"
"39","N/A"
"40","N/A"
"41","N/A"
"42","1.16444322827967"
"43","1.17648255676318"
"44","1.17136685768536"
"45","N/A"
"46","1.17111098854123"
"47","1.1974467944902"
"48","N/A"
"49","1.1724184417405"
"50","1.17439519049722"
