"","Estimate","Std. Error","z value","Pr(>|z|)"
"X349",0.0523508856258812,0.0548138193751325,0.955067284540134,0.339543671995867
"X124",0.048598853115669,0.0618040528953657,0.786337640315384,0.431669706384406
"X282",0.0148066560524553,0.0907188438611332,0.163214779005786,0.870349330274515
"X294",-0.032071998062429,0.0900460589284385,-0.35617325670985,0.72171081847035
"X549",-0.00942678580329206,0.0555807504089104,-0.169605227240343,0.865320611371045
"X155",-0.0416583544847426,0.0538866313013209,-0.773074016295418,0.439478577705308
"X77",0.0234360178682124,0.0585706950947327,0.400132145099299,0.689059189163413
"X134",-0.0526695914939838,0.175349009648828,-0.300370053982429,0.763894903136203
"X571",-0.0446206638983532,0.0571626894273099,-0.780590702526241,0.435043261829741
"X271",0.00470269840929373,0.0543921515584375,0.0864591356391056,0.931101439421401
"X453",-0.0735162518611075,0.0639743686548399,-1.14915165881118,0.250493450165954
"X333",0.336410157072657,0.191755385203021,1.75437136598006,0.0793668944546294
"X572",0.0282126467061703,0.106825067447785,0.26410137040129,0.791701807944825
"X214",-0.286828413123211,0.263690658435903,-1.08774582620617,0.276707331118488
"X517",-0.120432769142162,0.272983287341993,-0.441172682455407,0.659087988152847
"X444",-1.32822483813705,1.70025383993146,-0.781192082583737,0.434689529651605
"X307",0.0393989561107354,0.0663080422654607,0.59418065689534,0.552391288772239
"X60",-0.0328368786095826,0.0665424613578928,-0.493472557814961,0.621678725343509
"X521",0.0285381443202019,0.0694054385674219,0.411180231826924,0.680940382400769
"X175",0.0399631000064778,0.0605791575519633,0.659683984086416,0.509456646625582
"X132",-0.0316801095068408,0.0639460632033299,-0.495419231768924,0.620304222072693
"X338",-0.518656071666671,0.328153803940162,-1.58052737904951,0.113986141920046
"X386",-0.101412235571186,0.107328532414268,-0.944876756348013,0.344721799398739
"X212",-0.0264729617649356,0.0578262464222656,-0.457801835720437,0.647094816834539
"X227",0.0993728347841093,0.0820124134778062,1.21168040995405,0.225634740861543
"X173",1.25799042835529,1.62544514224005,0.773935948783626,0.438968669559333
"X119",-0.00369798134571789,0.0562426138738688,-0.0657505242201418,0.947576446896945
"X104",-0.0592819126872369,0.0547807352013055,-1.08216716094427,0.27917825748617
