"","adjusted_mle","std","z.value","p.value"
"X349",0.0446357989402868,0.0980006831452487,0.455464161143971,0.648775345261842
"X124",0.0414367132564249,0.110813904099087,0.373930632561896,0.70845592544503
"X282",0.0126245604947061,0.163158600339714,0.0773760038908175,0.938324429662776
"X294",-0.0273454639785524,0.160762460838911,-0.170098565522416,0.864932621624275
"X549",-0.00803753576923011,0.0999484736456736,-0.0804167935342755,0.935905770851193
"X155",-0.0355190540280925,0.0959690105106697,-0.370109620168935,0.711300814436041
"X77",0.0199821907312554,0.105263378528765,0.189830414057962,0.849442022240173
"X134",-0.0449075362925711,0.314417981889683,-0.142827506310779,0.886426412895037
"X571",-0.0380448001698058,0.102487268893201,-0.371214889231277,0.710477484158415
"X271",0.00400964946752051,0.0976667892216665,0.041054379891819,0.967252543488796
"X453",-0.0626819698976324,0.114784692825553,-0.546083004228577,0.585008881990715
"X333",0.286832513968816,0.328992326165849,0.871851685149095,0.383289294126684
"X572",0.02405487530716,0.192137703078935,0.125196017864737,0.900368369725556
"X214",-0.244557761066791,0.468253473941259,-0.522276447857107,0.601477865125686
"X517",-0.102684277543414,0.490192109442684,-0.209477622273764,0.834075402709372
"X444",-1.1324808761835,3.02262554842669,-0.374667936216238,0.707907441245779
"X307",0.0335926290910073,0.118961615358844,0.28238208593315,0.777650549654413
"X60",-0.0279976220826209,0.118371118717393,-0.236524097989345,0.813026010185691
"X521",0.0243324034880447,0.121358943714163,0.200499466651216,0.841089975078144
"X175",0.0340736336280404,0.10863583237073,0.313650044229981,0.753786846260826
"X132",-0.027011329062493,0.114940327459116,-0.235003063412194,0.814206355540839
"X338",-0.442220372345092,0.550289747803089,-0.803613685536683,0.421620116852296
"X386",-0.0864668496611374,0.149777389172129,-0.577302422876172,0.56373517724359
"X212",-0.022571572277459,0.103671604048146,-0.217721838922994,0.827645846838529
"X227",0.0847280006922554,0.145852890155065,0.58091410188839,0.561298347617432
"X173",1.07259709473018,2.88938522544026,0.371219830878295,0.710473803814646
"X119",-0.00315300018058896,0.101282156401344,-0.0311308555486791,0.97516518241972
"X104",-0.0505453824489832,0.097323434886625,-0.51935469096282,0.603513421269588
"X382",-0.0638027025373922,0.822648165211101,-0.077557703567016,0.938179888651462
"X541",-0.00839259947713491,1.28926397975188,-0.00650960517701741,0.994806123214081
"X275",0.628809494908323,14.0574556613034,0.0447313873903424,0.964321415210182
"X431",0.0710672976603301,0.177382639432715,0.400644042097972,0.688682214961271
"X269",0.0369290135581321,1.29429373705884,0.0285321735713948,0.977237707669653
"X21",0.0732761963334609,0.129226573660441,0.567036595166589,0.570689318884416
"X279",-0.0088743196732055,0.0996177268471872,-0.0890837399534185,0.929015359649993
"X331",0.0300185177642473,0.103927583276734,0.288840717909462,0.772703271084194
"X448",-0.0265356950684483,0.121354122351447,-0.218663318182135,0.826912325323049
"X588",0.0222827140011224,0.138545282460772,0.160833437309073,0.87222458889047
"X35",-0.140871545521496,0.346009189066037,-0.407132382529328,0.683910760763387
"X291",3.3873714521501e-05,0.0937581095114799,0.000361288369592749,0.999711733594176
"X28",-0.0801888251625106,0.114294351721163,-0.701599195016586,0.482929153790794
"X389",-0.0508733284553741,0.122635989894242,-0.414831963269884,0.678264919021486
"X589",-0.0164868415184236,0.106002154498245,-0.155533079459217,0.876401077598735
"X54",0.0330209444494581,0.275338423586811,0.119928573786749,0.904539729220611
"X102",-0.0469277738692193,0.116305992728241,-0.403485433281758,0.686591148667311
"X100",0.0660387099147107,0.100766368985433,0.655364588201617,0.512233045346058
"X0",-0.0123234331356447,0.0967306600321704,-0.127399452578389,0.898624249489665
"X40",-0.01676239240432,0.0974847491208053,-0.171948869494937,0.86347772639892
"X15",0.0112818454800971,0.107658543101413,0.104792849272257,0.916540184262099
"X391",-0.00352272278746466,0.0964033845703787,-0.0365414845460422,0.970850600898271
"X116",-0.0260459925588015,0.112288590263298,-0.231955824698913,0.816572324856936
"X476",-0.0291153384338179,0.113216204570889,-0.257165823074273,0.797050766163502
"X492",-0.00414350325371595,0.111302346986246,-0.0372274562568566,0.970303646854038
"X216",0.0364082195316679,0.0999837345268031,0.364141424642503,0.715752404782173
"X474",0.0383615513275251,0.189014798581477,0.202955279773974,0.839169986269781
"X113",0.00107474643586169,0.11067102723863,0.00971118153213052,0.992251719974785
"X543",-0.0504366236425923,0.122973424498952,-0.410142466537738,0.681701442370062
"X367",-0.0797908895143687,0.146127727111038,-0.546035246642398,0.58504170915297
"X519",0.0381999533990585,0.099061718237751,0.385617714679423,0.699779811685301
"X184",0.0335728448695636,0.146834782395928,0.228643679118461,0.819145872666665
"X342",0.254795024381296,0.398855553517799,0.638815285719536,0.522943103085761
"X577",-0.0543724731796806,0.193185463793319,-0.281452196827042,0.778363588082417
"X120",-0.0232577613309201,0.0998652923319072,-0.232891335796843,0.815845786512514
"X76",-0.0212666050701163,0.10294222438387,-0.206587774816419,0.836331808593026
"X4",-0.676903877757084,14.099961447423,-0.0480074984801323,0.961710266576383
"X201",0.151793639254764,0.203556617124785,0.745707220913931,0.455844296215344
"X479",0.0451553648550971,0.290477852310756,0.155452006051014,0.876464987525645
"X10",0.0198371251713078,0.0989998922433921,0.200375219828907,0.841187138193921
"X387",0.109072523838417,0.156375209915615,0.697505211326497,0.485486679194061
"X447",-1.02788389863622,6.93836348333737,-0.148145005822295,0.882228331773726
"X289",-0.010995903096214,0.162163600618085,-0.0678074676086569,0.945938899154801
"X377",-0.0195380662180165,0.0986733990902887,-0.198007430555206,0.84303925009273
"X335",-0.132342435570116,0.27699767759532,-0.47777453124882,0.632810690298597
"X94",-0.0388879950697969,0.337031382221166,-0.115383899307863,0.90814084021333
"X296",-0.0149010161528158,0.0950612281427579,-0.156751774029663,0.875440481623974
"X163",-0.00903592586979173,0.19073185776612,-0.047375021538729,0.962214336585923
"X151",-0.0227505801474888,0.11682222147022,-0.194745313529997,0.845592335930893
"X185",0.00255728104920776,0.147273904761014,0.0173641152066793,0.98614613675357
"X176",1.00127554159694,6.93172875154436,0.144448171226241,0.885146580494229
"X488",-0.0616555388744921,0.100445347314275,-0.613821750066561,0.539333122938472
"X45",0.0213915082612938,0.105375995699803,0.203001718932596,0.839133688672416
"X2",-0.00890649774247106,0.0971609261411135,-0.0916674850292755,0.926962231777025
"X157",-0.0320229166664018,0.100390691559766,-0.318982927290002,0.749739459109439
"X352",0.215857903793048,0.470519245362395,0.458765302207338,0.646402714098839
